Timestamp,Your Zodiac,Your Ex/Partner's Zodiac,Age Range,Ex/Partner's Age Range,Your Gender?,Your ex/partner's Gender?,"On a scale from 1-10, how happy were/are you in your relationship?","On a scale from 1-10, how compatible did/do you feel you both are?",Income,Are you and your ex/partner the same ethnicity?,Your highest level of education? (Or in progress),Your ex/partner's highest level of education? (Or in progress),Did/do you and your partner generally hold the same political views?,Did/do you and your partner hold the same religious views?,Preferences (select for you and your ex/partner if yes) [Smoke?],Preferences (select for you and your ex/partner if yes) [Drink?],Preferences (select for you and your ex/partner if yes) [Drug use?],Preferences (select for you and your ex/partner if yes) [Premarital sex?],Preferences (select for you and your ex/partner if yes) [Want to have kids?],"Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Calm]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Rational]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Emotional ]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Stubborn]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Adventurous]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Creative]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Analytical]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Introvert]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Extrovert]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Like going out]","Select whether each trait pertains to you, your ex/partner, or both of you. Leave blank if neither of you has that trait. [Like staying in ]",I am answering about:
4/6/2020 16:20:16,Scorpio (October 23 - November 21),Pisces (February 19 - March 20),20-29,20-29,Female,Male,10,10,My ex/partner makes more than me,Yes,Bachelors,Bachelors,Yes,Yes,Your Partner,"You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",You,"You, Your Partner","You, Your Partner","You, Your Partner",,"You, Your Partner","You, Your Partner",,My current partner
4/6/2020 16:28:36,Cancer (June 21 - July 22),Virgo (August 23 - September 22),<20,20-29,Female,Male,9,10,My ex/partner makes more than me,Yes,Bachelors,Bachelors,Yes,Yes,,"You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",You,"You, Your Partner","You, Your Partner","You, Your Partner",My current partner
4/6/2020 16:29:19,Scorpio (October 23 - November 21),Gemini (May 21 - June 20),20-29,20-29,Male,Female,3,5,I make more than my ex/partner,Yes,Bachelors,Bachelors,Yes,No,,"You, Your Partner","You, Your Partner","You, Your Partner",Your Partner,Your Partner,You,You,,You,,You,You,Your Partner,You,Your Partner,My current partner
4/6/2020 16:29:58,Capricorn (December 22 - January 19),Aries (March 21 - April 19),20-29,20-29,Female,Male,10,8,My ex/partner makes more than me,Yes,Bachelors,Bachelors,No,Yes,,"You, Your Partner",,"You, Your Partner","You, Your Partner",,"You, Your Partner",You,"You, Your Partner","You, Your Partner",You,Your Partner,You,Your Partner,"You, Your Partner","You, Your Partner",My current partner
4/6/2020 16:30:33,Cancer (June 21 - July 22),Sagittarius (November 22 - December 21),20-29,20-29,Female,Male,10,10,Neither of us have income,Yes,PhD,PhD,Yes,No,,"You, Your Partner",,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",You,"You, Your Partner",Your Partner,,"You, Your Partner",,"You, Your Partner",,"You, Your Partner",My current partner
4/6/2020 16:35:21,Cancer (June 21 - July 22),Aquarius (January 20 - February 18),20-29,20-29,Female,Male,9,10,My ex/partner makes more than me,Yes,Bachelors,Bachelors,Yes,Yes,,"You, Your Partner",,"You, Your Partner","You, Your Partner",Your Partner,Your Partner,You,,You,You,Your Partner,Your Partner,You,"You, Your Partner","You, Your Partner",My current partner
4/6/2020 16:36:41,Scorpio (October 23 - November 21),Aquarius (January 20 - February 18),20-29,20-29,Male,Female,9,8,My ex/partner has no income,Yes,High School,High School,No,No,"You, Your Partner","You, Your Partner",You,"You, Your Partner",You,"You, Your Partner","You, Your Partner","You, Your Partner",Your Partner,You,You,You,You,Your Partner,"You, Your Partner",You,My current partner
4/6/2020 16:38:56,Cancer (June 21 - July 22),Aquarius (January 20 - February 18),20-29,20-29,Male,Female,10,8,Neither of us have income,Yes,Bachelors,Bachelors,Yes,Yes,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",You,"You, Your Partner","You, Your Partner",You,"You, Your Partner","You, Your Partner","You, Your Partner",My current partner
4/6/2020 16:42:22,Aries (March 21 - April 19),Capricorn (December 22 - January 19),20-29,20-29,Male,Female,10,10,I make more than my ex/partner,Yes,Bachelors,Bachelors,No,Yes,,"You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner","You, Your Partner",My current partner
4/6/2020 16:44:03,Aquarius (January 20 - February 18),Scorpio (October 23 - November 21),20-29,20-29,Female,Male,10,10,Neither of us have income,Yes,Bachelors,Bachelors,Maybe,No,Your Partner,"You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner","You, Your Partner",Your Partner,"You, Your Partner","You, Your Partner",,"You, Your Partner","You, Your Partner",,My current partner
